IdEst,Linea,Orden,,Tipo,Estacion,Tarifa,x,y,DIRECCION
171,1,1,,C,PINAR DE CHAMARTIN,A,443592,4481471,Calle de Arturo Soria N 330
32,1,2,,I,BAMBU,A,442778,4481108,Calle del Bambu N 14
54,1,3,,I,CHAMARTIN,A,442247,4480589,Calle de Agustin de Foxa N 40
176,1,4,,I,PLAZA DE CASTILLA,A,441684,4480016,Paseo de la Castellana N 189
227,1,5,,I,VALDEACEDERAS,A,441183,4479745,Calle de Bravo Murillo N 332
219,1,6,,I,TETUAN,A,440909,4479318,Calle de Bravo Murillo N 264
84,1,7,,I,ESTRECHO,A,440499,4478625,Calle de Bravo Murillo N 191
16,1,8,,I,ALVARADO,A,440471,4478187,Calle de Bravo Murillo N 138
68,1,9,,I,CUATRO CAMINOS,A,440412,4477814,Gta de Cuatro Caminos N 2
195,1,10,,I,RIOS ROSAS,A,440632,4477258,Calle de Rios Rosas N 22
107,1,11,,I,IGLESIA,A,440825,4476473,Gta del Pintor Sorolla N 2
41,1,12,,I,BILBAO,A,440548,4475824,Calle de Sagasta N 2
223,1,13,,I,TRIBUNAL,A,440554,4475484,Calle de Fuencarral N 81
94,1,14,,I,GRAN VIA,A,440572,4474817,Calle   Gran Via N 23
217,1,15,,I,SOL,A,440446,4474466,Plaza de la Puerta del Sol N 6
220,1,16,,I,TIRSO DE MOLINA,A,440323,4473971,Plaza de Tirso de Molina N 7
17,1,17,,I,ANTON MARTIN,A,440772,4473981,Calle de Atocha N 50
25,1,18,,I,ATOCHA,A,445734,4475912,Plaza del Emperador Carlos V N 11
26,1,19,,I,ATOCHA RENFE,A,441615,4473322,Avda de la Ciudad de Barcelona N 2B
145,1,20,,I,MENENDEZ PELAYO,A,442325,4473079,Avda de la Ciudad de Barcelona N 23
159,1,21,,I,PACIFICO,A,442819,4472721,Avda de la Ciudad de Barcelona N 79
185,1,22,,I,PUENTE DE VALLECAS,A,443332,4472377,Avda de la Albufera N 1
152,1,23,,I,NUEVA NUMANCIA,A,443747,4472079,Avda de la Albufera N 70
179,1,24,,I,PORTAZGO,A,444208,4471756,Avda de la Albufera N 131
42,1,25,,I,BUENOS AIRES,A,444612,4471631,Avda de la Albufera N 179
14,1,26,,I,ALTO DEL ARENAL,A,445348,4471427,Calle de Santillana del Mar N 21
146,1,27,,I,MIGUEL HERNANDEZ,A,445831,4471151,Calle de Leon Felipe N 4A
215,1,28,,I,SIERRA DE GUADALUPE,A,447082,4470570,Avda de la Democracia N 1
237,1,29,,I,VILLA DE VALLECAS,A,447370,4470283,Paseo de Federico Garcia Lorca N 2
64,1,30,,I,CONGOSTO,A,447573,4469481,Calle del Congosto N 48 
116,1,31,,I,LA GAVIA,A,448028,4469234,Avda del Ensanche de Vallecas N 16
128,1,32,,I,LAS SUERTES,A,449206,4468453,Calle de Canada del Santisimo N 45
229,1,33,,T,VALDECARROS,A,449744,4468099,Avda del Ensanche de Vallecas N 120A
127,2,1,,C,LAS ROSAS,A,448931,4475173,Paseo de Ginebra N 35
29,2,2,,I,AVENIDA DE GUADALAJARA,A,448187,4475028,Avda de Guadalajara N 110
12,2,3,,I,ALSACIA,A,447213,4474579,Plaza de Alsacia N S/N
113,2,4,,I,LA ALMUDENA,A,445891,4475180,Calle de Arriaga N 75
114,2,5,,I,LA ELIPA,A,444928,4475520,Avda del Marques de Corbera N 58
232,2,6,,I,VENTAS,A,443817,4476002,Calle de Alcala N 204
138,2,7,,I,MANUEL BECERRA,A,443340,4475675,Plaza de Manuel Becerra N 1
93,2,8,,I,GOYA,A,442693,4475336,Calle de Alcala N 96
181,2,9,,I,PRINCIPE DE VERGARA,A,442405,4475268,Calle de Alcala N 123
193,2,10,,I,RETIRO,A,441892,4474842,Calle de Alcala N 81
33,2,11,,I,BANCO DE ESPANA,A,441152,4474728,Calle de Alcala N 49
214,2,12,,I,SEVILLA,A,440787,4474601,Calle de Alcala N 23
217,2,13,,I,SOL,A,440446,4474466,Plaza de la Puerta del Sol N 6
157,2,14,,I,OPERA,A,439924,4474612,Plaza de Isabel II N 9
212,2,15,,I,SANTO DOMINGO,A,440051,4474969,Calle de San Bernardo N 11
151,2,16,,I,NOVICIADO,A,440100,4475360,Calle de San Bernardo N 49
202,2,17,,I,SAN BERNARDO,A,440252,4475894,Calle de San Bernardo N 94
190,2,18,,I,QUEVEDO,A,440369,4476288,Gta de Quevedo N 1
45,2,19,,I,CANAL,A,440327,4476897,Calle de Bravo Murillo N 40
68,2,20,,T,CUATRO CAMINOS,A,440412,4477814,Gta de Cuatro Caminos N 10
238,3,1,,C,VILLAVERDE ALTO,A,439638,4466082,Calle del Valle de Tobalina N 56
205,3,2,,I,SAN CRISTOBAL,A,441235,4466104,Avda de Andalucia N 81
239,3,3,,I,VILLAVERDE BAJO CRUCE,A,441289,4467142,Avda de Andalucia N 38
56,3,4,,I,CIUDAD DE LOS ANGELES,A,441213,4468107,Avda de Andalucia N 38
206,3,5,,I,SAN FERMIN-ORCASUR,A,441176,4469263,Avda de Andalucia N 9
100,3,6,,I,HOSPITAL 12 DE OCTUBRE,A,441038,4469823,Avda de Cordoba N 49
8,3,7,,I,ALMENDRALES,A,440873,4470831,Avda de Cordoba N 21
132,3,8,,I,LEGAZPI,A,441114,4471612,Plaza de Legazpi N 2B
71,3,9,,I,DELICIAS,A,441200,4472583,Paseo de las Delicias N 60
161,3,10,,I,PALOS DE LA FRONTERA,A,441200,4472935,Calle de Palos de la Frontera N 33
79,3,11,,I,EMBAJADORES,A,440485,4473168,Gta de Embajadores N 10
130,3,12,,I,LAVAPIES,A,440638,4473543,Plaza de Lavapies N 7
217,3,13,,I,SOL,A,440446,4474466,Plaza de la Puerta del Sol N 6
43,3,14,,I,CALLAO,A,440245,4474831,Plaza del Callao N 3
177,3,15,,I,PLAZA DE ESPANA,A,439778,4475204,Plaza de Espana N 1
234,3,16,,I,VENTURA RODRIGUEZ,A,439594,4475613,Calle de la Princesa N 22
21,3,17,,I,ARGUELLES,A,439380,4476012,Calle de Alberto Aguilera N 72
148,3,18,,T,MONCLOA,A,439089,4476492,Plaza de la Moncloa N 1
21,4,1,,C,ARGUELLES,A,439380,4476012,Calle de Alberto Aguilera N 72
202,4,2,,I,SAN BERNARDO,A,440252,4475894,Gta de Ruiz Jimenez N 5
41,4,3,,I,BILBAO,A,440548,4475824,Calle de Sagasta N 5
11,4,4,,I,ALONSO MARTINEZ,A,441035,4475762,Plaza de Alonso Martinez N 4
60,4,5,,I,COLON,A,441493,4475413,Plaza de Colon N 2
213,4,6,,I,SERRANO,A,441864,4475412,Calle de Goya N 19
231,4,7,,I,VELAZQUEZ,A,442179,4475365,Calle de Nunez de Balboa N 33
93,4,8,,I,GOYA,A,442693,4475336,Calle de Goya N 68
133,4,9,,I,LISTA,A,442819,4475819,Calle del Conde de Penalver N 45
72,4,10,,I,DIEGO DE LEON,A,442862,4476430,Calle de Diego de Leon N 69
28,4,11,,I,AVENIDA DE AMERICA,A,442722,4476804,Avda de America N 9A
183,4,12,,I,PROSPERIDAD,A,442882,4477486,Plaza de la Prosperidad N 4
7,4,13,,I,ALFONSO XIII,A,443471,4477932,Calle de Lopez de Hoyos N 190
30,4,14,,I,AVENIDA DE LA PAZ,A,444046,4478515,Avda de Ramon y Cajal N 107
24,4,15,,I,ARTURO SORIA,A,444472,4478766,Calle de Arturo Soria N 172
81,4,16,,I,ESPERANZA,A,445354,4479161,Calle de Andorra N 51
46,4,17,,I,CANILLAS,A,446224,4479639,Avda de Machupichu N 64
141,4,18,,I,MAR DE CRISTAL,A,445997,4480260,Gta del Mar de Cristal N 1B
209,4,19,,I,SAN LORENZO,A,445895,4480825,Avda de la Barranquilla N 9
165,4,20,,I,PARQUE DE SANTA MARIA,A,445417,4481122,Calle de Santa Virgilia N 1
99,4,21,,I,HORTALEZA,A,444794,4480933,Calle del Capitan Cortes BLQ 4
137,4,22,,I,MANOTERAS,A,443920,4481106,Calle de Bacares N 24
171,4,23,,T,PINAR DE CHAMARTIN,A,443592,4481471,Calle de Arturo Soria N 330
5,5,1,,C,ALAMEDA DE OSUNA,A,450295,4478943,Calle de la Corbeta N 14
75,5,2,,I,EL CAPRICHO,A,449742,4478467,Calle de Pinos de Osuna N 15
47,5,3,,I,CANILLEJAS,A,448539,4478026,Calle de Alcala N 631
